Cell_ID,Sample,x,y,Cell_Type
mouse2_slice229-107498232325714561923036941546728166746,mouse2_slice229,-5124.99096046165,-928.170531056821,L2/3 IT
mouse2_slice229-107509160544469757189131364335070103904,mouse2_slice229,-5909.92031096667,-1596.74252875894,L5 ET
mouse2_slice229-107518536962318888582884136464288361375,mouse2_slice229,-5738.77588499971,-1145.63593106084,L4/5 IT
mouse2_slice229-10766197641095398858824983083525423189,mouse2_slice229,-6632.62838185467,-814.799253743142,L2/3 IT
mouse2_slice229-107870289462975249564803613726378417955,mouse2_slice229,-5454.92513110749,-1810.18800389767,L5 IT
mouse2_slice229-107883107852616027848282578258964760023,mouse2_slice229,-6161.77245922908,-825.920503370464,Endo
mouse2_slice229-107891224024961163346945597106694319488,mouse2_slice229,-5841.63930655271,-1938.46950630099,L6 IT
mouse2_slice229-107970606424775074044962299861436402148,mouse2_slice229,-6081.01938023306,-1630.59452762455,Sst
mouse2_slice229-107993690049213575797109052715657374878,mouse2_slice229,-5198.6678829927,-2264.97507706173,L6b
mouse2_slice229-108053260262403046656765097015229956562,mouse2_slice229,-4845.60498141982,-1858.14500229061,Endo
mouse2_slice229-108076884479301289614223425896745019972,mouse2_slice229,-5132.6944602035,-1461.51702658832,Endo
mouse2_slice229-108098787639863876811898342183341310930,mouse2_slice229,-5657.26330602914,-1668.90587634072,PVM
mouse2_slice229-108201155968467087098441729014864935304,mouse2_slice229,-6124.13381049037,-1037.31067739949,L2/3 IT
mouse2_slice229-108356204765969866941090638095945511933,mouse2_slice229,-5654.64845611677,-1093.31837552264,L2/3 IT
mouse2_slice229-108640041480411675899535360133123232693,mouse2_slice229,-5947.99295969084,-1808.66900394857,L6 CT
mouse2_slice229-108653268025052565967737522256169652152,mouse2_slice229,-4867.02830570191,-2048.6078526102,L6 CT
mouse2_slice229-108813366147876365376398398587800875469,mouse2_slice229,-5953.32573451214,-2044.52825274691,Oligo
mouse2_slice229-108850950047004577371659634362964252402,mouse2_slice229,-5032.09130687267,-1679.31102599204,Astro
mouse2_slice229-108881294610273021955272346352009340607,mouse2_slice229,-5585.87030842155,-1758.54200562835,L6 CT
mouse2_slice229-108938260996091147994042519531416243207,mouse2_slice229,-6541.81930989772,-1856.40900234878,Oligo
mouse2_slice229-108979415233239123264460353029850941,mouse2_slice229,-6042.07330653816,-1785.98165470883,L6 CT
mouse2_slice229-109042813331395625465727404272969469218,mouse2_slice229,-4637.84180667996,-1415.6215281263,Sst
mouse2_slice229-109046525040067733337521586385985997012,mouse2_slice229,-5556.90080939233,-818.759503610432,L2/3 IT
mouse2_slice229-109090250068793123279609120605767686900,mouse2_slice229,-5245.54530642182,-2171.45350519568,Oligo
mouse2_slice229-109169524360771051599872303677825974626,mouse2_slice229,-4904.06131116301,-1635.91102744639,L4/5 IT
mouse2_slice229-109203956041631084063630770540271892568,mouse2_slice229,-4688.13155499473,-1196.08300437033,PVM
mouse2_slice229-10923003371954686732591359960087697775,mouse2_slice229,-5507.4248110503,-1922.59400013089,Oligo
mouse2_slice229-1092628034047792240733808561164300777,mouse2_slice229,-5325.20796045437,-861.676677172258,Astro
mouse2_slice229-109276938480045195633365212986112162417,mouse2_slice229,-5603.66430782527,-1424.6216028247,SMC
mouse2_slice229-109295482548368585686824961036527378118,mouse2_slice229,-6416.35880739987,-1069.87152630836,L4/5 IT
mouse2_slice229-109427131665613838861127655851003642490,mouse2_slice229,-6381.53030856699,-1828.95850326866,L6 CT
mouse2_slice229-109495520893544853546839826944284037893,mouse2_slice229,-5423.5198071599,-969.302879678458,L2/3 IT
mouse2_slice229-109546984311368014393964173063550266701,mouse2_slice229,-6636.32280673087,-1502.5734252125,Oligo
mouse2_slice229-109562435161178808541490022211478390281,mouse2_slice229,-6262.30855586007,-1339.23753068596,L5 ET
mouse2_slice229-10957269550376746191834191883800715244,mouse2_slice229,-5268.97045563683,-1521.33503128588,L5 IT
mouse2_slice229-10958273279451604259263769359568919329,mouse2_slice229,-4780.66230859607,-1645.02502714097,Pvalb
mouse2_slice229-109591320188487743847269416303590807107,mouse2_slice229,-5996.28630807251,-2085.28085138127,Astro
mouse2_slice229-109654756438620656324372442256952953614,mouse2_slice229,-5054.76780611277,-2265.09442705773,L6 IT
mouse2_slice229-109774298196671327383056575009915517134,mouse2_slice229,-5015.49080742896,-1305.88500069082,L4/5 IT
mouse2_slice229-109822167214452995338509479969243632288,mouse2_slice229,-5719.73956063762,-1877.46342664324,Astro
mouse2_slice229-109907679538344042375435386067878719009,mouse2_slice229,-5611.81265755221,-992.945028886199,Pvalb
mouse2_slice229-109970801523738287291592198987190916516,mouse2_slice229,-6226.66630705446,-1454.68152681738,Oligo
mouse2_slice229-110041795770978666016804546411329641508,mouse2_slice229,-5440.71163158379,-2066.06550202519,L6 CT
mouse2_slice229-110059427603776282130881225130523814299,mouse2_slice229,-5054.87630610913,-2326.32590904832,L6b
mouse2_slice229-110207466730230234545368619108431738092,mouse2_slice229,-6132.27131021768,-830.683653210849,Endo
mouse2_slice229-110284718402926927881813718790311063853,mouse2_slice229,-4858.90165597424,-1454.79002681375,L4/5 IT
mouse2_slice229-110395481128175320284517892889023149688,mouse2_slice229,-5499.0811613299,-2151.05550587922,Astro
mouse2_slice229-11041939626892229360558176201574172206,mouse2_slice229,-4760.80680926144,-1877.56650163978,Peri
mouse2_slice229-110473945503495603499539098207719075233,mouse2_slice229,-5865.73173074536,-1789.18782960139,L6 CT
mouse2_slice229-110479559368580841241708529281964971472,mouse2_slice229,-5934.01816015914,-1508.85753170401,L5 IT
mouse2_slice229-11050986328454683642823894768161040686,mouse2_slice229,-6555.50115943924,-1068.2440263629,L4/5 IT
mouse2_slice229-110762912507815584770949714849072308635,mouse2_slice229,-4541.28765991554,-994.626778829843,VLMC
mouse2_slice229-110763948975528842658445973350838804973,mouse2_slice229,-5848.58330632001,-611.064528279006,VLMC
mouse2_slice229-110776168545864051821483095889722539003,mouse2_slice229,-6425.31005709991,-1432.65602755547,Sst
mouse2_slice229-11079028730996504881294219046117737398,mouse2_slice229,-4999.55215796307,-1483.75952584296,L4/5 IT
mouse2_slice229-110821497925370760047314331095121792167,mouse2_slice229,-4823.5198071599,-1795.97450437397,Endo
mouse2_slice229-110831316659182659586819992319120015514,mouse2_slice229,-6633.17630683631,-1008.89452835172,L4/5 IT
mouse2_slice229-110900031645770129702925409419088036507,mouse2_slice229,-5595.84145808741,-1170.81335521713,Lamp5
mouse2_slice229-111005046093590515181536103864259449856,mouse2_slice229,-5717.51531071216,-1983.33425479755,L6 IT
mouse2_slice229-111050189371895512688035420398209262071,mouse2_slice229,-5453.23795616403,-1876.14515168741,Oligo
mouse2_slice229-111152580609618787826393482093774754194,mouse2_slice229,-6013.64630749077,-822.448503486812,SMC
mouse2_slice229-111177928990814935025792538796728861085,mouse2_slice229,-5590.42730826885,-794.72675441578,L2/3 IT
mouse2_slice229-111223424675979557572481986195487031584,mouse2_slice229,-5813.75480748713,-963.747679864615,L2/3 IT
mouse2_slice229-111284574399299209490190178050098508661,mouse2_slice229,-5234.53798179068,-1344.93378049508,L4/5 IT
mouse2_slice229-111459981568349238068845636877593487824,mouse2_slice229,-5296.26016142443,-1136.08250638098,Micro
mouse2_slice229-11151512556364390329581666870111492578,mouse2_slice229,-4742.47030987591,-1914.81650709361,SMC
mouse2_slice229-111571712430624563641029941277904246063,mouse2_slice229,-5724.3508104831,-844.474002748728,Astro
mouse2_slice229-11159484305070689678434130321630101411,mouse2_slice229,-6638.3300566636,-1120.62125689909,L5 IT
mouse2_slice229-111702897576982264508103519421329038254,mouse2_slice229,-6542.47030987591,-2005.35975405946,Oligo
mouse2_slice229-111707617355297588847957126742224173016,mouse2_slice229,-5420.64455725625,-1606.06810344644,L5 IT
mouse2_slice229-111817948926972533761813757255617428078,mouse2_slice229,-6024.66448212154,-589.58695399873,VLMC
mouse2_slice229-11183281040779065716920756344632938397,mouse2_slice229,-4950.59695960358,-990.124028980732,L2/3 IT
mouse2_slice229-111861736630913261520843035111407294604,mouse2_slice229,-4699.39581131935,-2113.27385044321,L5 IT
mouse2_slice229-112077797505191231926384084096552564649,mouse2_slice229,-5479.73365527615,-1661.67435158305,Astro
mouse2_slice229-112119034469310501087369383757744524290,mouse2_slice229,-5940.62580993772,-1409.75710332282,Endo
